node_id,birthday,education;classes;id,education;concentration;id,education;degree;id,education;school;id,education;type,education;with;id,education;year;id,first_name,gender,hometown;id,languages;id,last_name,locale,location;id,work;employer;id,work;end_date,work;location;id,work;position;id,work;start_date,work;with;id,middle_name,work;from;id,work;projects;id,religion,name,political
60,,,,,,,,,,,,,,127,,,,,,,,,,,,,
61,,,,,,,,,,,,,,127,,,,,,,,,,,,,
62,,,,,,,,,,,,,,127,,,,,,,,,,,,,
63,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
64,,,,,52,55,,,,78,,,,,138,,,,,,,,,,,,
65,7,,,,,55,,,,78,,,,127,,,,,193,,,,,,,,
66,7,,,,,55,,,,,,,,127,,,,,,,,,,,,,
67,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
68,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
69,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
70,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
71,,,,,,,,,,78,,,,127,,,,,193,,,,,,,,
72,,,,,,55,,,,78,,,,127,,,172,,,,,,,,,,
73,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
74,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
75,7,,,,,,,,,78,,,,127,,,,,,,,,,,,,
76,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
77,,,,,,55,,,,,,,,127,,,,,193,,,,,,,,
78,,,,,,,,,,,,,,127,,,,,,,,,,,,,
79,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
80,,,,,,55,,,,,,,,127,138,,,138,,,,,,,,,
81,,,,23,52,55,,,,,,103,,127,,,,,,,,,,,,,
82,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
83,,,,,,55,,,,,,,,,,,,,,,,,,,,,
84,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
85,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
86,,,,,,,,,,,,,,127,,,,,,,,,,,,,
87,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
88,,,,,,,,,,,,,,127,,,,,,,,,,,,,
89,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
90,,,,,,,,,,,,,,127,,,,,,,,,,,,,
91,,,,,52,55,,72,,78,,,,127,,,,,,,,,,,,,
92,,,19,,,,,,,78,,,,127,,,,,,,,,,,,,
93,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
94,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
95,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
96,,,,,,,,,,,,,,127,,,,,,,,,,,,,
97,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
98,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
99,7,,,,,,,,,,,,,127,,,,,,,,,,,,,
100,,,,,52,55,,,,78,,,,127,,156,,,,,,,,,,,
101,,,,,,,,,,78,,,124,127,,,,,,,,,,,,,
102,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
103,,,,,,55,,,,78,,103,,127,,,,,,,,,,,,,
104,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
105,,,,,,55,,72,,78,,,,127,,,,,,,,,,,,,
106,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
107,,,,22,538,,,,,78,,,,127,,,,,,,,,,,,,
108,,,,,,55,,72,,78,,,,127,,,,,,,,,,,,,
109,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
110,,,,,,,,,,,,,,127,,,,,,,,,,,,,
111,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
112,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
113,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
114,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
115,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
116,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
117,,,,,,,,,,,,,,127,,,,,,,,,,,,,
118,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
119,,,,,52,55,,72,,78,,,,127,,,,,193,,,,,,,,
120,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
121,7,,,,,55,,,,78,,,,127,,,,138,,,,,,,,,
122,,,,,,,,,,,,,,127,,,,,,,,,,,,,
123,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
124,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
125,7,,,,,,,,,78,,,,,,,,,,,,,,,,,
126,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
127,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
128,7,,,,,55,,,,,,,,127,,,,,193,,,,,,,,
129,,,,,,55,,72,,,,,,127,,,,,,,,,,,,,
130,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
131,,,,,,,,,,,,,,127,,,,,,,,,,,,,
132,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
133,7,,,,,55,,,,,,,,127,,,,,,,,,,,,,
134,7,,,,,,,,,78,,,,127,,,,,,,,,,,,,
135,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
136,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
137,,,,,,55,,,,78,,,,127,138,,,,,,,,,,,,
138,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
139,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
140,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
141,,,,,,55,,,,78,,,,127,,,,138,,204,,,,,,,
142,,,,,,,,,,,,,,127,,,,,,,,,,,,,
143,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
144,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
145,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
146,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
147,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
148,,,,,,55,,,,,,,,,,,,,,,,,,,,,
149,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
150,,,,,52,55,,,,,,,,127,,,,,193,,,,,,,,
151,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
152,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
153,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
154,,,,,,,,,,,,,,127,,,,,,,,,,,,,
155,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
156,,,,,,55,,,76,78,,,,127,,,,,,,,,,,,,
157,,,,,,55,,72,,78,,,,127,,,,,,,,,,,,,
158,,,,,,,,72,,78,,,,127,,,,,,,,,,,,,
159,,,,,,55,,72,,78,,,,127,,,,,,,,,,,,,
160,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
161,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
162,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
163,,,,,52,,,,,78,,,,127,,,,,,,,,,,,,
164,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
165,,,,,,,,,,78,,,,127,138,,,138,,,,,,,,,
166,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
167,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
168,,,,,,,,,76,78,,,,127,,,,,,,,,,,,,
169,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
170,7,12,,,,55,,,,78,,,,127,,,,,,204,,,,,,,
171,,,,,52,55,,,,78,,,,127,,,,,,,,,,,,,
172,,,,,,55,,,,78,,103,,,,,,,,,,,,,,,
173,,,,,52,55,,,,78,,,,,,,,,193,,,,,,,,
174,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
175,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
176,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
177,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
178,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
179,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
180,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
181,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
182,,,,,,,,,,,,,,127,138,,,,,,,,,,,,
183,7,,,,52,55,,,,,,,,127,,,,,,,,,,,,,
184,,,,,,,,,,78,,,,,,,,,,,,,,,,,
185,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
186,,,,,,,,,,,,,,127,,,,,,,,,,,,,
187,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
188,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
189,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
190,,,,,,,,,,,,,,127,,,,,,,,,,,,,
191,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
192,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
193,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
194,,,,,,55,,72,,,,,,127,,,,,,,,,,,,,
195,,,,,,,,,,,,,,127,,,,,,,,,,,,,
196,,,,,,,,,,78,,,,127,,156,,,,,,,,,,,
197,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
198,,,,,52,55,,,,,,,,127,,52,,,,,,,,,,,
199,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
200,7,,,,,55,,,,78,,,,,,,,,,,,,,,,,
201,,,,,,55,,,,,,,,127,138,,,138,,,,,,,,,
202,,,,,52,55,,,,78,,,,127,138,,,,,,,,,,,,
203,7,,,,,55,,72,,,,,,127,,,,,,,,,,,,,
204,,,,,,,,,,78,,,,127,,,,,193,,,,,,,,
205,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
206,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
207,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
208,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
209,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
210,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
211,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
212,,,,,,55,,,,78,,,,127,,,172,,,,,,,,,,
213,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
214,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
215,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
216,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,56,,,78,,,,127,,,,,,,,,,,,,
219,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
220,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
221,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
222,7,,,,,55,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,127,,,,,,,,,,,,,
224,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
225,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
226,,,,,,55,,72,,78,,,,127,,,,,,,,,,,,,
227,7,,,,,55,,,,,,,,127,,,,,,,,,,,,,
228,,,,,,,,,,,,,,127,,,,,,,,,,,,,
229,,,,,,55,,,,,,,,127,,,,,193,,,,,,,,
230,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
231,,,,,,,,,,,,,,127,,,,,,,,,,,,,
232,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
233,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
234,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
235,,,,,,,,,,,,,,127,,,,,,,,,,,,,
236,7,,,,,,,,,,,,,127,,,172,,,204,,,,,,,
237,7,,,,,55,,,,,,,,127,,,,,,,,,,,,,
238,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
239,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
240,,,,,,,,,,,,,,127,,,,,,,,,,,,,
241,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
242,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
243,,,,,,,,,,,,,,127,,,,,,,,,,,,,
244,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
245,,,,,,,,,,,,,,127,,,,,,,,,,,,,
246,,,,,,,,,,,,,,127,,,,,,,,,,,,,
247,,,,,,55,,72,,78,,,,127,,,,,193,,,,,,,,
248,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
249,,,19,,,55,,,,78,,,,127,,,,,,,,,,,,,
250,7,,,,,55,,,,,,,,127,,,,,,,,,,,,,
251,,,,,,,,,,,,,,127,,,,,,,,,,,,,
252,,12,,,,55,,,,,,,,127,,,,,,,205,,,,,,
253,,,,,,,,,,,,,,127,,,,,,,,,,,,,
254,,,,,,,,,,78,,,124,127,,,,,,,,,,,,,
255,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
256,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
257,7,,,,,55,,,,,,,,127,,,,138,,,,,,,,,
258,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
259,,,,,,,,,,78,,,,,,,,,,,,,,,,,
260,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
261,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
262,,,,,,,,,,78,,,,,,,,,,,,,,,,,
263,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
264,,,,,,,,,,,,,,127,,,,,,,,,,,,,
265,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
266,,,,,,,,,,78,,,,,,,,,193,,,,,,,,
267,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
268,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
269,,,,23,52,55,,72,,,,,,127,,,,,,,,,,,,,
270,,,,,,,,,,,,,,127,,,,,,,,,,,,,
271,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
272,,,,,52,55,,,,,,,,127,,,,,,,,,,,,,
273,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
274,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
275,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
276,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
277,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
278,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
279,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
280,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
281,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
282,,,,,,,,,,78,,,,,,,,,,,,,,,,,
283,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
284,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
285,,,,,,55,,,,78,,,,127,,156,,,,,,,,,,,
286,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
287,,,,,,,,,,,,,,127,,,,,,,,,,,,,
288,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
289,,,,,,55,,72,,78,,,,127,,,,,,,,,,,,,
290,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
291,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
292,,,,,,,,,,,,,,127,,,,,,,,,,,,,
293,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
294,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
295,7,,,,,55,,,76,78,,,,127,,,,,,,,,,,,,
296,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
297,,,,,,55,,,,78,,,,127,,,172,,,,,,,,,,
298,,,,,,,,,,,,,,127,,,,,,,,,,,,,
299,,,19,,,,,,,78,,,,127,,,,,,,,,,,,,
300,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
301,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
302,,,,,,,,,,,,,,127,,,,,,,,,,,,,
303,,,,,,,,,,,,,,127,,,,,,,,,,,,,
304,,,,,,,,,,,,,,127,,,,,,,,,,,,,
305,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
306,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
307,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
308,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
309,,,,,,,,,,,,,,127,,,,,,,,,,,,,
310,,,,,,,,,,,,,,127,138,,,,,,,,,,,,
311,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
312,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
313,,,,,,55,,,,78,,,,127,,,,,,,205,,,,,,
314,7,,,,,55,,,,78,,,,127,,,,,193,,,,,,,,
315,,,,,,,,,,,,,,127,,,,,,,,,,,,,
316,,,,,,,,,,,,,,127,,,,,,,,,,,,,
317,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
318,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
319,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
320,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
321,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
322,,,,,,,,,,,,,,127,,,,,,,,,,,,,
323,,,,,,55,,,,78,,,,,,156,,,,,,,,,,,
324,,,,,,,,,,78,,,,,,,,,,,,,,,,,
325,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
326,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
327,,,,,,,,,,,,,,127,,,,,,,,,,,,,
328,,,,,,55,,,76,78,,,,127,,,,,,,,,,,,,
329,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
330,,,19,,,55,,,,,,,,127,,,,,,,,,,,,,
331,,,,,,,,,,78,,,,,,,,,,,,,,,,,
332,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
333,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
334,,,,,,55,,,,,,,,127,138,,,,,,,,,,,,
335,,,,,52,55,,,,78,,,,127,,,,,,,,,,,,,
336,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
337,,,,,,,,,,,,,,127,,,,,,,,,,,,,
338,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
339,,,,,,55,,72,,78,,,,,,,,,,,,,,,,,
340,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
341,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
342,,,,,,55,,,,78,89,,,127,,,,,,,,,,,,,
343,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
344,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
345,,,,,,,,,,,,,,127,,,,,,,,,,,,,
346,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
347,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
348,,,,,52,55,,,,78,,,,,,,171,297,,202,,,,,,,
349,,,,,,55,,,,78,,,,,,,,,,,,,,,,,
350,,,,,,55,,,,78,,,,,,,,,,,,,,,,,
351,,,,224,,55,,,,78,,,,,,,,,,,,,,,,,
352,,,,,,55,,,,78,,,,278,,52,171,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,55,,72,,78,,,,,,,,,,,,,,,,,
355,,,,,,55,,,,78,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,55,,,,78,,,,278,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,78,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,55,,,,78,,266,,278,,,,,,,,,,,,,
362,,,,,52,55,,,,,,,,,,52,,,,,,,,,,,
363,,,,,52,55,,,,78,,,,,,,,,,202,,,,,,,
364,,,,,,,,,,78,,,,,,,171,,,202,,,,,,,
365,,,,,52,55,,72,,78,,,,,,52,,,,,,,,,,,
366,,,,,,,,,,78,,,,,,,,,,,,,,,,,
367,,,,,,55,,,,78,,,,278,,,,,,,,,,,,,
368,,,,,52,55,,72,,78,,,,,,,,,,,,,,,,,
369,,,219,,,55,,,,78,,,,278,,,,,,,,,,,,,
370,,,,,52,55,,259,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,78,,,,,,,,,,,,,,,,,
373,,,,,52,55,,,,,,,,,,,,,,,,,,,,,
374,,,,,52,55,,,,78,,,,,,,,,,,,,,,,,
375,,,,,,,,,,78,,,,,,,,,,,,,,,,,
376,,,,,52,55,,,,78,,,,,,,,,,,,,,,,,
377,,,,,,,,,,78,,,,,,,,,,,,,,,,,
378,,,,,52,55,,,,78,,,,278,,,,,,,,,,,,,
379,,,,,,55,,,,,,,,278,,,,,,,,,,,,,
380,,,,,,55,,,,78,,,,278,,,,,,,,,,,,,
381,,,,,,,,,,,,,,278,,,,,,,,,,,,,
382,,,,,,55,,,,78,,,,,,,,,,,,,,,,,
383,,,,,,55,,,,78,,,,278,,,,,,,,,,,,,
384,,,,,,,,,,78,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,,,,52,55,,,,78,,,,,,,,,,,,,,,,,
388,,,,,52,55,,,,78,,,,,,,,,,,,,,,,,
389,,,,,,,,,,78,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,,,,52,,,,,78,,,,,,,,,,,,,,,,,
392,,,,,52,,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,,312,,52,,,,,78,,,,,,,,,,,,,,,,,
395,,,,223,52,55,,,,78,,,,,,,,,,,,,,,,,
396,,,,,,55,,,,78,,,,278,,,,,,,,,,,,,
397,,,,,,55,,,,78,,,,,,,,,,,,,,,,,
398,,,,,52,55,,,,78,,,,,,,,,,,,,,,,,
399,,,,,,55,,,,,,,,,,,,,,,,,,,,,
400,,,,223,52,55,,,,78,,,,,,,,,,,,,,,,,
401,,,,,,,,,,78,,,,,,,,,,,,,,,,,
402,,,,,52,55,,,,78,,,,,,,,,,,,,,,,,
403,,,,,,55,,,,78,,,,,,,,,,,,,,,,,
404,,,,,52,,,,,78,,,,278,138,,,,,,,,,,,,
405,,,,,,55,,,,78,,,,278,,,,,,,,,,,,,
406,,,,,,55,,,,78,,,,278,,,,,,,,,,,,,
407,,,,,,55,,,,78,,,,,,,,,,,,,,,,,
408,,,,,52,55,,,,78,,,,,,,,,,,,,,,,,
409,,,,,,,,,,78,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,278,138,,,,,,,,,,,,
411,,,,,,55,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,78,,,,,,,,,,,,,,,,,
414,,,,,52,55,,,323,78,,,,,,,,,,,,,,,,329,
415,,,,,52,55,,,,78,,,,,,52,,,,,,,,,,,
416,,,,,52,55,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,277,,,,,,,,,,,,,,
418,,,,,,55,,,,78,,,,,,,,,,,,,,,,,
419,,,,,52,55,,,,78,,,,,,,,,,,,,,,,,
420,,,,,52,55,,,,78,,,,,,,,,,,,,,,,,
421,,,,,52,55,,,,78,,,,,,52,,,,,,,,,,,
422,,,,,,55,,,,78,,,,278,84,,,,,,,,,,,,
423,,,,,52,55,,259,,,,,,,,,,297,,,,,,,,,
424,,,,,,,,,,78,,,,278,,,,,,,,,,,,,
425,212,,,,,,,,,78,,,,,,,,,,,,,,,,,
426,,,,,,,,,,78,,,,,,,,,,,,,,,,,
427,,,,,52,55,,,,78,,,,,,,,,,,,,,,,,
428,,,,223,52,55,,,,78,,,,,,52,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,78,,,,,,,,,,,,,,,,,
431,,,,,,,,,,78,,,,,,,,,,,,,,,,,
432,,,,,52,55,,,,78,,,,,138,,,,,,,,,,,,
433,,,,,,55,,,,78,,,,,,,,,,,,,,,,,
434,,,,,52,55,,,,78,,,,278,,,,,,,,,,,,,
