----------------------------------------------------------------------------------------------------
Running facebook with evolutionary_game_round, imitate_best_neighbor, initial coinflip p=0.25
Running facebook with evolutionary_game_round, fermi_update, initial coinflip p=0.75
Iteration 0 Strategy Distribution: 74.72% cooperators, 25.28% defectors, Total: 4039
Iteration 1 Strategy Distribution: 64.10% cooperators, 35.90% defectors
Iteration 2 Strategy Distribution: 51.23% cooperators, 48.77% defectors
Iteration 3 Strategy Distribution: 38.65% cooperators, 61.35% defectors
Iteration 4 Strategy Distribution: 25.13% cooperators, 74.87% defectors
Iteration 5 Strategy Distribution: 16.09% cooperators, 83.91% defectors
Iteration 6 Strategy Distribution: 11.66% cooperators, 88.34% defectors
Iteration 7 Strategy Distribution: 9.78% cooperators, 90.22% defectors
Iteration 8 Strategy Distribution: 9.51% cooperators, 90.49% defectors
Iteration 9 Strategy Distribution: 7.77% cooperators, 92.23% defectors
Iteration 10 Strategy Distribution: 7.06% cooperators, 92.94% defectors
Iteration 11 Strategy Distribution: 5.89% cooperators, 94.11% defectors
Iteration 12 Strategy Distribution: 6.16% cooperators, 93.84% defectors
Iteration 13 Strategy Distribution: 5.69% cooperators, 94.31% defectors
Iteration 14 Strategy Distribution: 5.55% cooperators, 94.45% defectors
Iteration 15 Strategy Distribution: 5.35% cooperators, 94.65% defectors
Iteration 16 Strategy Distribution: 5.74% cooperators, 94.26% defectors
Iteration 17 Strategy Distribution: 5.77% cooperators, 94.23% defectors
Iteration 18 Strategy Distribution: 5.99% cooperators, 94.01% defectors
Iteration 19 Strategy Distribution: 5.30% cooperators, 94.70% defectors
Iteration 20 Strategy Distribution: 5.94% cooperators, 94.06% defectors
----------------------------------------------------------------------------------------------------
Running epinion with evolutionary_game_round, imitate_best_neighbor, initial coinflip p=0.25
Iteration 0 Strategy Distribution: 24.96% cooperators, 75.04% defectors, Total: 131828
Iteration 1 Strategy Distribution: 17.67% cooperators, 82.33% defectors
Iteration 2 Strategy Distribution: 8.67% cooperators, 91.33% defectors
Iteration 3 Strategy Distribution: 8.00% cooperators, 92.00% defectors
Iteration 4 Strategy Distribution: 7.97% cooperators, 92.03% defectors
Iteration 5 Strategy Distribution: 7.96% cooperators, 92.04% defectors
Iteration 6 Strategy Distribution: 7.96% cooperators, 92.04% defectors
Iteration 7 Strategy Distribution: 7.96% cooperators, 92.04% defectors
Iteration 8 Strategy Distribution: 7.95% cooperators, 92.05% defectors
Iteration 9 Strategy Distribution: 7.96% cooperators, 92.04% defectors
Iteration 10 Strategy Distribution: 7.95% cooperators, 92.05% defectors
Iteration 11 Strategy Distribution: 7.96% cooperators, 92.04% defectors
Iteration 12 Strategy Distribution: 7.95% cooperators, 92.05% defectors
Iteration 13 Strategy Distribution: 7.96% cooperators, 92.04% defectors
Iteration 14 Strategy Distribution: 7.95% cooperators, 92.05% defectors
Iteration 15 Strategy Distribution: 7.96% cooperators, 92.04% defectors
Iteration 16 Strategy Distribution: 7.95% cooperators, 92.05% defectors
Iteration 17 Strategy Distribution: 7.96% cooperators, 92.04% defectors
Iteration 18 Strategy Distribution: 7.95% cooperators, 92.05% defectors
Iteration 19 Strategy Distribution: 7.96% cooperators, 92.04% defectors
Iteration 20 Strategy Distribution: 7.95% cooperators, 92.05% defectors
----------------------------------------------------------------------------------------------------
Running epinion with evolutionary_game_round, imitate_best_neighbor, initial coinflip p=0.5
Iteration 0 Strategy Distribution: 49.84% cooperators, 50.16% defectors, Total: 131828
Iteration 1 Strategy Distribution: 41.82% cooperators, 58.18% defectors
Iteration 2 Strategy Distribution: 24.81% cooperators, 75.19% defectors
Iteration 3 Strategy Distribution: 17.95% cooperators, 82.05% defectors
Iteration 4 Strategy Distribution: 17.27% cooperators, 82.73% defectors
Iteration 5 Strategy Distribution: 17.21% cooperators, 82.79% defectors
Iteration 6 Strategy Distribution: 17.20% cooperators, 82.80% defectors
Iteration 7 Strategy Distribution: 17.19% cooperators, 82.81% defectors
Iteration 8 Strategy Distribution: 17.18% cooperators, 82.82% defectors
Iteration 9 Strategy Distribution: 17.18% cooperators, 82.82% defectors
Iteration 10 Strategy Distribution: 17.18% cooperators, 82.82% defectors
Iteration 11 Strategy Distribution: 17.18% cooperators, 82.82% defectors
Iteration 12 Strategy Distribution: 17.18% cooperators, 82.82% defectors
Iteration 13 Strategy Distribution: 17.18% cooperators, 82.82% defectors
Iteration 14 Strategy Distribution: 17.18% cooperators, 82.82% defectors
Iteration 15 Strategy Distribution: 17.18% cooperators, 82.82% defectors
Iteration 16 Strategy Distribution: 17.18% cooperators, 82.82% defectors
Iteration 17 Strategy Distribution: 17.18% cooperators, 82.82% defectors
Iteration 18 Strategy Distribution: 17.18% cooperators, 82.82% defectors
Iteration 19 Strategy Distribution: 17.18% cooperators, 82.82% defectors
Iteration 20 Strategy Distribution: 17.18% cooperators, 82.82% defectors
----------------------------------------------------------------------------------------------------
Running epinion with evolutionary_game_round, imitate_best_neighbor, initial coinflip p=0.75
Iteration 0 Strategy Distribution: 75.04% cooperators, 24.96% defectors, Total: 131828
Iteration 1 Strategy Distribution: 69.38% cooperators, 30.62% defectors
Iteration 2 Strategy Distribution: 51.28% cooperators, 48.72% defectors
Iteration 3 Strategy Distribution: 32.49% cooperators, 67.51% defectors
Iteration 4 Strategy Distribution: 28.25% cooperators, 71.75% defectors
Iteration 5 Strategy Distribution: 27.74% cooperators, 72.26% defectors
Iteration 6 Strategy Distribution: 27.51% cooperators, 72.49% defectors
Iteration 7 Strategy Distribution: 27.45% cooperators, 72.55% defectors
Iteration 8 Strategy Distribution: 27.45% cooperators, 72.55% defectors
Iteration 9 Strategy Distribution: 27.44% cooperators, 72.56% defectors
Iteration 10 Strategy Distribution: 27.44% cooperators, 72.56% defectors
Iteration 11 Strategy Distribution: 27.44% cooperators, 72.56% defectors
Iteration 12 Strategy Distribution: 27.44% cooperators, 72.56% defectors
Iteration 13 Strategy Distribution: 27.44% cooperators, 72.56% defectors
Iteration 14 Strategy Distribution: 27.44% cooperators, 72.56% defectors
Iteration 15 Strategy Distribution: 27.43% cooperators, 72.57% defectors
Iteration 16 Strategy Distribution: 27.44% cooperators, 72.56% defectors
Iteration 17 Strategy Distribution: 27.43% cooperators, 72.57% defectors
Iteration 18 Strategy Distribution: 27.44% cooperators, 72.56% defectors
Iteration 19 Strategy Distribution: 27.43% cooperators, 72.57% defectors
Iteration 20 Strategy Distribution: 27.43% cooperators, 72.57% defectors
----------------------------------------------------------------------------------------------------
Running epinion with evolutionary_game_round, fermi_update, initial coinflip p=0.25
Iteration 0 Strategy Distribution: 24.96% cooperators, 75.04% defectors, Total: 131828
Iteration 1 Strategy Distribution: 20.75% cooperators, 79.25% defectors
Iteration 2 Strategy Distribution: 16.07% cooperators, 83.93% defectors
Iteration 3 Strategy Distribution: 13.00% cooperators, 87.00% defectors
Iteration 4 Strategy Distribution: 10.91% cooperators, 89.09% defectors
Iteration 5 Strategy Distribution: 9.57% cooperators, 90.43% defectors
Iteration 6 Strategy Distribution: 8.79% cooperators, 91.21% defectors
Iteration 7 Strategy Distribution: 8.33% cooperators, 91.67% defectors
Iteration 8 Strategy Distribution: 8.25% cooperators, 91.75% defectors
Iteration 9 Strategy Distribution: 8.22% cooperators, 91.78% defectors
Iteration 10 Strategy Distribution: 8.17% cooperators, 91.83% defectors
Iteration 11 Strategy Distribution: 8.13% cooperators, 91.87% defectors
Iteration 12 Strategy Distribution: 8.11% cooperators, 91.89% defectors
Iteration 13 Strategy Distribution: 8.10% cooperators, 91.90% defectors
Iteration 14 Strategy Distribution: 8.11% cooperators, 91.89% defectors
Iteration 15 Strategy Distribution: 8.08% cooperators, 91.92% defectors
Iteration 16 Strategy Distribution: 8.08% cooperators, 91.92% defectors
Iteration 17 Strategy Distribution: 8.07% cooperators, 91.93% defectors
Iteration 18 Strategy Distribution: 8.07% cooperators, 91.93% defectors
Iteration 19 Strategy Distribution: 8.06% cooperators, 91.94% defectors
Iteration 20 Strategy Distribution: 8.05% cooperators, 91.95% defectors
----------------------------------------------------------------------------------------------------
Running epinion with evolutionary_game_round, fermi_update, initial coinflip p=0.5
Iteration 0 Strategy Distribution: 49.84% cooperators, 50.16% defectors, Total: 131828
Iteration 1 Strategy Distribution: 45.68% cooperators, 54.32% defectors
Iteration 2 Strategy Distribution: 40.67% cooperators, 59.33% defectors
Iteration 3 Strategy Distribution: 36.36% cooperators, 63.64% defectors
Iteration 4 Strategy Distribution: 32.45% cooperators, 67.55% defectors
Iteration 5 Strategy Distribution: 28.28% cooperators, 71.72% defectors
Iteration 6 Strategy Distribution: 25.05% cooperators, 74.95% defectors
Iteration 7 Strategy Distribution: 22.32% cooperators, 77.68% defectors
Iteration 8 Strategy Distribution: 20.78% cooperators, 79.22% defectors
Iteration 9 Strategy Distribution: 19.92% cooperators, 80.08% defectors
Iteration 10 Strategy Distribution: 19.38% cooperators, 80.62% defectors
Iteration 11 Strategy Distribution: 18.97% cooperators, 81.03% defectors
Iteration 12 Strategy Distribution: 18.62% cooperators, 81.38% defectors
Iteration 13 Strategy Distribution: 18.09% cooperators, 81.91% defectors
Iteration 14 Strategy Distribution: 17.81% cooperators, 82.19% defectors
Iteration 15 Strategy Distribution: 17.74% cooperators, 82.26% defectors
Iteration 16 Strategy Distribution: 17.71% cooperators, 82.29% defectors
Iteration 17 Strategy Distribution: 17.70% cooperators, 82.30% defectors
Iteration 18 Strategy Distribution: 17.70% cooperators, 82.30% defectors
Iteration 19 Strategy Distribution: 17.70% cooperators, 82.30% defectors
Iteration 20 Strategy Distribution: 17.69% cooperators, 82.31% defectors
----------------------------------------------------------------------------------------------------
Running epinion with evolutionary_game_round, fermi_update, initial coinflip p=0.75
Iteration 0 Strategy Distribution: 75.04% cooperators, 24.96% defectors, Total: 131828
Iteration 1 Strategy Distribution: 72.32% cooperators, 27.68% defectors
Iteration 2 Strategy Distribution: 69.20% cooperators, 30.80% defectors
Iteration 3 Strategy Distribution: 65.52% cooperators, 34.48% defectors
Iteration 4 Strategy Distribution: 62.25% cooperators, 37.75% defectors
Iteration 5 Strategy Distribution: 58.15% cooperators, 41.85% defectors
Iteration 6 Strategy Distribution: 53.90% cooperators, 46.10% defectors
Iteration 7 Strategy Distribution: 49.54% cooperators, 50.46% defectors
Iteration 8 Strategy Distribution: 45.51% cooperators, 54.49% defectors
Iteration 9 Strategy Distribution: 42.19% cooperators, 57.81% defectors
Iteration 10 Strategy Distribution: 40.17% cooperators, 59.83% defectors
Iteration 11 Strategy Distribution: 38.71% cooperators, 61.29% defectors
Iteration 12 Strategy Distribution: 36.97% cooperators, 63.03% defectors
Iteration 13 Strategy Distribution: 35.22% cooperators, 64.78% defectors
Iteration 14 Strategy Distribution: 33.62% cooperators, 66.38% defectors
Iteration 15 Strategy Distribution: 32.60% cooperators, 67.40% defectors
Iteration 16 Strategy Distribution: 31.95% cooperators, 68.05% defectors
Iteration 17 Strategy Distribution: 31.47% cooperators, 68.53% defectors
Iteration 18 Strategy Distribution: 31.19% cooperators, 68.81% defectors
Iteration 19 Strategy Distribution: 30.88% cooperators, 69.12% defectors
Iteration 20 Strategy Distribution: 30.47% cooperators, 69.53% defectors
----------------------------------------------------------------------------------------------------
Running epinion with evolutionary_game_round, trust_aware_update, initial coinflip p=0.25
Iteration 0 Strategy Distribution: 24.96% cooperators, 75.04% defectors, Total: 131828
Iteration 1 Strategy Distribution: 18.14% cooperators, 81.86% defectors
Iteration 2 Strategy Distribution: 10.00% cooperators, 90.00% defectors
Iteration 3 Strategy Distribution: 9.35% cooperators, 90.65% defectors
Iteration 4 Strategy Distribution: 9.33% cooperators, 90.67% defectors
Iteration 5 Strategy Distribution: 9.33% cooperators, 90.67% defectors
Iteration 6 Strategy Distribution: 9.32% cooperators, 90.68% defectors
Iteration 7 Strategy Distribution: 9.33% cooperators, 90.67% defectors
Iteration 8 Strategy Distribution: 9.32% cooperators, 90.68% defectors
Iteration 9 Strategy Distribution: 9.33% cooperators, 90.67% defectors
Iteration 10 Strategy Distribution: 9.32% cooperators, 90.68% defectors
Iteration 11 Strategy Distribution: 9.33% cooperators, 90.67% defectors
Iteration 12 Strategy Distribution: 9.32% cooperators, 90.68% defectors
Iteration 13 Strategy Distribution: 9.33% cooperators, 90.67% defectors
Iteration 14 Strategy Distribution: 9.32% cooperators, 90.68% defectors
Iteration 15 Strategy Distribution: 9.32% cooperators, 90.68% defectors
Iteration 16 Strategy Distribution: 9.32% cooperators, 90.68% defectors
Iteration 17 Strategy Distribution: 9.32% cooperators, 90.68% defectors
Iteration 18 Strategy Distribution: 9.32% cooperators, 90.68% defectors
Iteration 19 Strategy Distribution: 9.32% cooperators, 90.68% defectors
Iteration 20 Strategy Distribution: 9.32% cooperators, 90.68% defectors
----------------------------------------------------------------------------------------------------
Running epinion with evolutionary_game_round, trust_aware_update, initial coinflip p=0.5
Iteration 0 Strategy Distribution: 49.84% cooperators, 50.16% defectors, Total: 131828
Iteration 1 Strategy Distribution: 42.40% cooperators, 57.60% defectors
Iteration 2 Strategy Distribution: 27.67% cooperators, 72.33% defectors
Iteration 3 Strategy Distribution: 20.64% cooperators, 79.36% defectors
Iteration 4 Strategy Distribution: 19.90% cooperators, 80.10% defectors
Iteration 5 Strategy Distribution: 19.84% cooperators, 80.16% defectors
Iteration 6 Strategy Distribution: 19.84% cooperators, 80.16% defectors
Iteration 7 Strategy Distribution: 19.82% cooperators, 80.18% defectors
Iteration 8 Strategy Distribution: 19.82% cooperators, 80.18% defectors
Iteration 9 Strategy Distribution: 19.82% cooperators, 80.18% defectors
Iteration 10 Strategy Distribution: 19.82% cooperators, 80.18% defectors
Iteration 11 Strategy Distribution: 19.82% cooperators, 80.18% defectors
Iteration 12 Strategy Distribution: 19.82% cooperators, 80.18% defectors
Iteration 13 Strategy Distribution: 19.82% cooperators, 80.18% defectors
Iteration 14 Strategy Distribution: 19.82% cooperators, 80.18% defectors
Iteration 15 Strategy Distribution: 19.82% cooperators, 80.18% defectors
Iteration 16 Strategy Distribution: 19.82% cooperators, 80.18% defectors
Iteration 17 Strategy Distribution: 19.82% cooperators, 80.18% defectors
Iteration 18 Strategy Distribution: 19.82% cooperators, 80.18% defectors
Iteration 19 Strategy Distribution: 19.82% cooperators, 80.18% defectors
Iteration 20 Strategy Distribution: 19.82% cooperators, 80.18% defectors
----------------------------------------------------------------------------------------------------
Running epinion with evolutionary_game_round, trust_aware_update, initial coinflip p=0.75
Iteration 0 Strategy Distribution: 75.04% cooperators, 24.96% defectors, Total: 131828
Iteration 1 Strategy Distribution: 69.87% cooperators, 30.13% defectors
Iteration 2 Strategy Distribution: 54.22% cooperators, 45.78% defectors
Iteration 3 Strategy Distribution: 37.06% cooperators, 62.94% defectors
Iteration 4 Strategy Distribution: 32.38% cooperators, 67.62% defectors
Iteration 5 Strategy Distribution: 31.79% cooperators, 68.21% defectors
Iteration 6 Strategy Distribution: 31.59% cooperators, 68.41% defectors
Iteration 7 Strategy Distribution: 31.55% cooperators, 68.45% defectors
Iteration 8 Strategy Distribution: 31.54% cooperators, 68.46% defectors
Iteration 9 Strategy Distribution: 31.53% cooperators, 68.47% defectors
Iteration 10 Strategy Distribution: 31.53% cooperators, 68.47% defectors
Iteration 11 Strategy Distribution: 31.52% cooperators, 68.48% defectors
Iteration 12 Strategy Distribution: 31.53% cooperators, 68.47% defectors
Iteration 13 Strategy Distribution: 31.52% cooperators, 68.48% defectors
Iteration 14 Strategy Distribution: 31.53% cooperators, 68.47% defectors
Iteration 15 Strategy Distribution: 31.52% cooperators, 68.48% defectors
Iteration 16 Strategy Distribution: 31.53% cooperators, 68.47% defectors
Iteration 17 Strategy Distribution: 31.52% cooperators, 68.48% defectors
Iteration 18 Strategy Distribution: 31.53% cooperators, 68.47% defectors
Iteration 19 Strategy Distribution: 31.52% cooperators, 68.48% defectors
Iteration 20 Strategy Distribution: 31.53% cooperators, 68.47% defectors
----------------------------------------------------------------------------------------------------
Running epinion with evolutionary_game_round, all_neighbors_trust_aware_update, initial coinflip p=0.25
Iteration 0 Strategy Distribution: 24.96% cooperators, 75.04% defectors, Total: 131828
Iteration 1 Strategy Distribution: 90.31% cooperators, 9.69% defectors
Iteration 2 Strategy Distribution: 92.02% cooperators, 7.98% defectors
Iteration 3 Strategy Distribution: 92.22% cooperators, 7.78% defectors
Iteration 4 Strategy Distribution: 92.23% cooperators, 7.77% defectors
Iteration 5 Strategy Distribution: 92.22% cooperators, 7.78% defectors
Iteration 6 Strategy Distribution: 92.21% cooperators, 7.79% defectors
Iteration 7 Strategy Distribution: 92.15% cooperators, 7.85% defectors
Iteration 8 Strategy Distribution: 92.30% cooperators, 7.70% defectors
Iteration 9 Strategy Distribution: 92.21% cooperators, 7.79% defectors
Iteration 10 Strategy Distribution: 92.31% cooperators, 7.69% defectors
Iteration 11 Strategy Distribution: 92.15% cooperators, 7.85% defectors
Iteration 12 Strategy Distribution: 92.28% cooperators, 7.72% defectors
Iteration 13 Strategy Distribution: 92.12% cooperators, 7.88% defectors
Iteration 14 Strategy Distribution: 92.27% cooperators, 7.73% defectors
Iteration 15 Strategy Distribution: 92.12% cooperators, 7.88% defectors
Iteration 16 Strategy Distribution: 92.25% cooperators, 7.75% defectors
Iteration 17 Strategy Distribution: 92.14% cooperators, 7.86% defectors
Iteration 18 Strategy Distribution: 92.28% cooperators, 7.72% defectors
Iteration 19 Strategy Distribution: 92.17% cooperators, 7.83% defectors
Iteration 20 Strategy Distribution: 92.24% cooperators, 7.76% defectors
----------------------------------------------------------------------------------------------------
Running epinion with evolutionary_game_round, all_neighbors_trust_aware_update, initial coinflip p=0.5
Iteration 0 Strategy Distribution: 49.84% cooperators, 50.16% defectors, Total: 131828
Iteration 1 Strategy Distribution: 89.67% cooperators, 10.33% defectors
Iteration 2 Strategy Distribution: 91.95% cooperators, 8.05% defectors
Iteration 3 Strategy Distribution: 92.25% cooperators, 7.75% defectors
Iteration 4 Strategy Distribution: 92.22% cooperators, 7.78% defectors
Iteration 5 Strategy Distribution: 92.21% cooperators, 7.79% defectors
Iteration 6 Strategy Distribution: 92.18% cooperators, 7.82% defectors
Iteration 7 Strategy Distribution: 92.16% cooperators, 7.84% defectors
Iteration 8 Strategy Distribution: 92.29% cooperators, 7.71% defectors
Iteration 9 Strategy Distribution: 92.21% cooperators, 7.79% defectors
Iteration 10 Strategy Distribution: 92.28% cooperators, 7.72% defectors
Iteration 11 Strategy Distribution: 92.17% cooperators, 7.83% defectors
Iteration 12 Strategy Distribution: 92.26% cooperators, 7.74% defectors
Iteration 13 Strategy Distribution: 92.17% cooperators, 7.83% defectors
Iteration 14 Strategy Distribution: 92.25% cooperators, 7.75% defectors
Iteration 15 Strategy Distribution: 92.16% cooperators, 7.84% defectors
Iteration 16 Strategy Distribution: 92.26% cooperators, 7.74% defectors
Iteration 17 Strategy Distribution: 92.16% cooperators, 7.84% defectors
Iteration 18 Strategy Distribution: 92.26% cooperators, 7.74% defectors
Iteration 19 Strategy Distribution: 92.18% cooperators, 7.82% defectors
Iteration 20 Strategy Distribution: 92.25% cooperators, 7.75% defectors
----------------------------------------------------------------------------------------------------
Running epinion with evolutionary_game_round, all_neighbors_trust_aware_update, initial coinflip p=0.75
Iteration 0 Strategy Distribution: 75.04% cooperators, 24.96% defectors, Total: 131828
Iteration 1 Strategy Distribution: 90.77% cooperators, 9.23% defectors
Iteration 2 Strategy Distribution: 92.02% cooperators, 7.98% defectors
Iteration 3 Strategy Distribution: 92.27% cooperators, 7.73% defectors
Iteration 4 Strategy Distribution: 92.22% cooperators, 7.78% defectors
Iteration 5 Strategy Distribution: 92.20% cooperators, 7.80% defectors
Iteration 6 Strategy Distribution: 92.21% cooperators, 7.79% defectors
Iteration 7 Strategy Distribution: 92.18% cooperators, 7.82% defectors
Iteration 8 Strategy Distribution: 92.28% cooperators, 7.72% defectors
